Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;77;Serviço;170040-90036/2022;Serviço de apoio administrativo;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;911;SERVIÇOS ADMINISTRATIVOS DO GOVERNO;;;;;-;0,0000;0,0000;2700000,0000;0,0000;02/01/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;78;Serviço;170040-90036/2022;Serviço de apoio administrativo;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;911;SERVIÇOS ADMINISTRATIVOS DO GOVERNO;;;5380;PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO;UN;4,0000;42000,0000;168000,0000;0,0000;02/01/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;79;Serviço;170040-90036/2022;Serviço de apoio administrativo;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;911;SERVIÇOS ADMINISTRATIVOS DO GOVERNO;;;5380;PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO;UN;6,0000;42000,0000;252000,0000;0,0000;02/01/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;80;Serviço;170040-90030/2022;Confecção de chaves e serviço de chaveiro;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;;;;;-;0,0000;0,0000;5200,0000;0,0000;28/02/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;81;Serviço;170040-90022/2022;Serviços de carregador (capatazia);CNBS (Catálogo Nacional de Bens e Serviços);Serviço;671;SERVIÇOS DE CARGA E DESCARGA;;;;;-;0,0000;0,0000;80000,0000;0,0000;28/02/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;82;Serviço;170040-90021/2022;Contratação de serviços de agenciamento de viagens;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;661;SERVIÇOS DE TRANSPORTE AÉREO DE PASSAGEIROS;;;25828;CONTRATAÇÃO DE PASSAGEM AÉREA JUNTO A COMPANHIA CREDENCIADA;UN;1500,0000;800,0000;1200000,0000;0,0000;17/07/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;83;Serviço;170040-90015/2022;Locação de equipamentos de impressão para atender as agências de Sobral e;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;152;OUTSOURCING DE IMPRESSÃO - MODALIDADE LOCAÇÃO DE EQUIPAMENTOMAIS PÁGINAS IMPRESSAS;;;;;-;0,0000;0,0000;26400,0000;0,0000;31/01/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;84;Material;170040-90006/2022;Refrigerador;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;;;;;-;0,0000;0,0000;15000,0000;0,0000;28/02/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;85;Material;170040-90002/2022;Equipamentos de proteção individual para obras e serviços de engenharia.;CNBS (Catálogo Nacional de Bens e Serviços);Material;3590;EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS E  COMERCIAIS;;;;;-;0,0000;0,0000;5000,0000;0,0000;30/03/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;86;Material;170040-90003/2023;Aquisição de caixas e sacos;CNBS (Catálogo Nacional de Bens e Serviços);Material;8145;RECIPIENTES ESPECIALIZADOS PARA TRANSPORTE E ARMAZENAGEM;;;;;-;0,0000;0,0000;50000,0000;0,0000;31/05/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;87;Material;170040-90003/2023;Aquisição de caixas e sacos;CNBS (Catálogo Nacional de Bens e Serviços);Material;7510;ARTIGOS PARA ESCRITÓRIO;;;;;-;0,0000;0,0000;20000,0000;0,0000;31/05/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;88;Serviço;170040-90110/2023;Troféu em acrílico, base granito, tamanho A5, com impressão, corte e montagem personalizados.;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;881;SERVIÇOS DE MANUFATURA EM INSUMOS FÍSICOS QUE SAO PROPRIEDADE DE OUTROS(EXCETO MAQUINARIA E EQUIPAMENTO);;;20990;CONFECÇÃO TROFÉU;UN;200,0000;75,0000;15000,0000;0,0000;30/05/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;89;Serviço;170040-90006/2023;Contratação de espaço onde ocorrerá o Workshop Interoperabilidade Sinter e Municípios.;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;22721;LOCAÇÃO SALA / AUDITÓRIO;UN;1,0000;20000,0000;20000,0000;0,0000;05/04/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;90;Serviço;170040-90005/2023;Aluguel de espaço para realização do Workshop "Receita na Nuvem";CNBS (Catálogo Nacional de Bens e Serviços);Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;22721;LOCAÇÃO SALA / AUDITÓRIO;UN;1,0000;20000,0000;20000,0000;0,0000;05/04/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;91;Material;170040-90004/2023;Aquisição de SSD;CNBS (Catálogo Nacional de Bens e Serviços);Material;7030;EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS;216;DISCO MAGNÉTICO;431986;MODELO: SSD, APLICAÇÃO: INFORMÁTICA, VELOCIDADE MÍNIMA DISCO: 7.200, INTERFACE: SATA III, TIPO: RÍGIDO, MEMÓRIA: 2, VELOCIDADE TRANSFERÊNCIA: 6.0;UN;35,0000;1278,0000;44730,0000;0,0000;31/03/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;92;Serviço;170040-90109/2023;Locação de auditório para o evento 1º Seminário de Conformidade Tributária e Cobrança na RFB;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;22721;LOCAÇÃO SALA / AUDITÓRIO;UN;1,0000;20000,0000;20000,0000;0,0000;05/05/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;93;Serviço;170040-90112/2023;Contratação de empresa especializada para executar os serviços de recuperação 03 portões da ALF/FOR;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;18406;INSTALAÇÃO / MANUTENÇÃO - PORTA / CANCELA / PORTÃO;UN;1,0000;22000,0000;22000,0000;0,0000;30/06/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;94;Serviço;170040-90111/2023;Readequação do Sistema de Combate a Incêndio - DRF-JNE;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;;;25550;SERVIÇOS DE PREVENÇÃO COMBATE INCÊNDIO / BRIGADISTA;UN;1,0000;236317,5100;236317,5100;0,0000;31/07/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;95;Serviço;170040-90113/2023;Serviço de substituição das esquadrias ALF de Fortaleza;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;546;SERVIÇOS DE INSTALAÇÃO;;;15814;INSTALAÇÃO / REMOÇÃO DE DIVISÓRIA / PAINEL / PERSIANA / JANELA / PORTA / ESQUADRIA EM GERAL;UN;1,0000;83232,3600;83232,3600;0,0000;31/08/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;98;Material;170040-90115/2023;Aquisição de algemas, bastões e lanternas táticas;CNBS (Catálogo Nacional de Bens e Serviços);Material;8465;EQUIPAMENTOS INDIVIDUAIS;1425;BASTÃO ANTITUMULTO;;;-;0,0000;0,0000;10130,0000;0,0000;02/10/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;99;Material;170040-90115/2023;Aquisição de algemas, bastões e lanternas táticas;CNBS (Catálogo Nacional de Bens e Serviços);Material;8465;EQUIPAMENTOS INDIVIDUAIS;1421;ALGEMA;;;-;0,0000;0,0000;2330,0000;0,0000;02/10/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;96;Serviço;170040-90114/2023;Contratação de empresa para prestação de serviço terceirizado de apoio administrativo;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;851;SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL;;;15008;PRESTAÇÃO DE SERVIÇOS DE MOTORISTA;UN;1,0000;1500000,0000;1500000,0000;0,0000;09/10/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;97;Serviço;170040-90114/2023;Contratação de empresa para prestação de serviço terceirizado de apoio administrativo;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;911;SERVIÇOS ADMINISTRATIVOS DO GOVERNO;;;5380;PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO;UN;1,0000;2100000,0000;2100000,0000;0,0000;09/10/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;100;Material;170040-90115/2023;Aquisição de algemas, bastões e lanternas táticas;CNBS (Catálogo Nacional de Bens e Serviços);Material;6230;EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA MANUAL E PORTÁTIL;8712;LANTERNA ELÉTRICA;;;-;0,0000;0,0000;1440,0000;0,0000;02/10/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;101;Serviço;170040-90116/2023;Contratação de pessoa jurídica para organização de eventos institucionais;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;14591;PROMOÇÃO DE EVENTO;UN;1,0000;755000,0000;755000,0000;0,0000;01/11/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;102;Serviço;170040-90117/2023;Contratação de um serviço de Consultoria Especializada em Design Thinking;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;831;SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO;;;744;CONSULTORIA E ASSESSORIA - ORGANIZAÇÃO E MÉTODOS;UN;1,0000;30000,0000;30000,0000;0,0000;11/10/2023
SUP.REGIONAL RECEITA FEDERAL 3A.RF/CE;170040;109;Serviço;170040-90135/2023;Treinamento sobre celebração de aditivos contratuais de obras públicas (Lei 14.133/21);CNBS (Catálogo Nacional de Bens e Serviços);Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;;;-;0,0000;0,0000;15000,0000;0,0000;22/12/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;1;Serviço;170072-90028/2022;Contratação de Auxiliar de Escritório;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;192000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;2;Serviço;170072-90014/2022;Serviços de telefonia fixa comutada/telecomunicações;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;141;SERVIÇOS DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-ÇÕES MÓVEIS (SMP) E TELECOMUNICAÇÕES SATELITAIS;;;;;-;0,0000;0,0000;21000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;3;Material;170072-90011/2022;Aquisição de óleo combustível;CNBS (Catálogo Nacional de Bens e Serviços);Material;9140;ÓLEOS COMBUSTÍVEIS;;;;;-;0,0000;0,0000;20250,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;4;Material;170072-90004/2022;Aquisição de Cãmeras;CNBS (Catálogo Nacional de Bens e Serviços);Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;;;;;-;0,0000;0,0000;30000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;5;Serviço;170072-90015/2022;Serviço de distribuição de água encanada;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;692;SERVIÇOS DE DISTRIBUIÇÃO DE ÁGUA ATRAVÉS DE TUBULAÇÃO;;;;;-;0,0000;0,0000;36000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;6;Material;170072-90012/2022;Aquisição de energia Elétrica;CNBS (Catálogo Nacional de Bens e Serviços);Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;360000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;7;Serviço;170072-90019/2022;Serviços de Internet;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;842;SERVIÇOS DE TELECOMUNICAÇÕES DE INTERNET;;;;;-;0,0000;0,0000;18000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;8;Serviço;170072-90022/2022;Serviços de Limpeza;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;853;SERVIÇOS DE LIMPEZA;;;;;-;0,0000;0,0000;222000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;9;Locação de Imóveis;170072-90016/2022;Locação de Imóvel;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;721;SERVIÇOS IMOBILIÁRIOS RELATIVOS A LOCAÇÃO OU ARRENDAMENTO;;;;;-;0,0000;0,0000;1500000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;10;Serviço;170072-90017/2022;Serviços de Publicidade;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;836;SERVIÇOS DE PUBLICIDADE;;;;;-;0,0000;0,0000;3000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;11;Serviço;170072-90024/2022;Serviços de Guinchos e reboques;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;3000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;12;Material;170072-90008/2022;Aquisição de açúcar;CNBS (Catálogo Nacional de Bens e Serviços);Material;8925;AÇÚCAR, CONFEITOS, CASTANHAS, NOZES E SIMILARES;;;;;-;0,0000;0,0000;9000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;13;Serviço;170072-90018/2022;Técnicos em Secretariado;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;;;;;-;0,0000;0,0000;42000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;14;Serviço;170072-90023/2022;Serviços de copeiragem;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;36000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;15;Serviço;170072-90020/2022;Contratação de Motorista;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;851;SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL;;;;;-;0,0000;0,0000;57600,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;16;Material;170072-90005/2022;Equipamento especializado para oficina de manutenção e reparo de veículos motorizados;CNBS (Catálogo Nacional de Bens e Serviços);Material;4910;EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS;;;;;-;0,0000;0,0000;9000,0000;0,0000;28/12/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;17;Material;170072-90009/2022;Aquisição de café;CNBS (Catálogo Nacional de Bens e Serviços);Material;8955;CAFÉ, CHÁ E CHOCOLATE;;;;;-;0,0000;0,0000;9000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;18;Material;170072-90003/2022;Aquisição de peças e acessórios;CNBS (Catálogo Nacional de Bens e Serviços);Material;2540;EQUIPAMENTO E ACESSÓRIOS PARA VEÍCULOS;;;;;-;0,0000;0,0000;15000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;19;Material;170072-90006/2022;Sistemas diversos de sinalização, alarme e detecção para segurança;CNBS (Catálogo Nacional de Bens e Serviços);Material;6350;SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA;;;;;-;0,0000;0,0000;7200,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;20;Serviço;170072-90025/2022;Vigilância armada;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;360000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;21;Serviço;170072-90027/2022;Vigilância eletrônica;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;84000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;22;Serviço;170072-90026/2022;Manutenção de veículos;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;36000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;23;Material;170072-90007/2022;Aquisição de Recepientes para uso doméstico e comercial;CNBS (Catálogo Nacional de Bens e Serviços);Material;7240;RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL;;;;;-;0,0000;0,0000;8000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;24;Material;170072-90007/2022;Aquisição de Recepientes para uso doméstico e comercial;CNBS (Catálogo Nacional de Bens e Serviços);Material;7240;RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL;;;;;-;0,0000;0,0000;5000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;25;Material;170072-90013/2022;Aquisição de componentes/acessórios;CNBS (Catálogo Nacional de Bens e Serviços);Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;36000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;26;Material;170072-90010/2022;Aquisição de Água Mineral;CNBS (Catálogo Nacional de Bens e Serviços);Material;8960;BEBIDAS NÃO ALCOÓLICAS;;;;;-;0,0000;0,0000;12000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;27;Serviço;170072-90021/2022;Contratação de Recepcionistas;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;851;SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL;;;;;-;0,0000;0,0000;108000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;28;Serviço;170072-90029/2022;Serviço de impressão em papel A4;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;;;;;-;0,0000;0,0000;33000,0000;0,0000;03/04/2023
DELEGACIA DA REC.FEDERAL EM ARACAJU/SE;170072;29;Serviço;170072-90030/2022;Manutenção em equipamentos de Telecomunicação;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;;;-;0,0000;0,0000;10000,0000;0,0000;03/04/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;10;Material;170131-90009/2022;Registro de Preços para aquisição de café e açúcar;CNBS (Catálogo Nacional de Bens e Serviços);Material;8925;AÇÚCAR, CONFEITOS, CASTANHAS, NOZES E SIMILARES;;;;;-;0,0000;0,0000;11852,8000;0,0000;19/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;11;Material;170131-90009/2022;Registro de Preços para aquisição de café e açúcar;CNBS (Catálogo Nacional de Bens e Serviços);Material;8925;AÇÚCAR, CONFEITOS, CASTANHAS, NOZES E SIMILARES;2063;"AÇÚCAR";;;-;0,0000;0,0000;38706,8000;0,0000;19/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;12;Serviço;170131-90015/2022;Contratação de serviços de centrais de PABX para diversos órgãos;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;141;SERVIÇOS DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-ÇÕES MÓVEIS (SMP) E TELECOMUNICAÇÕES SATELITAIS;;;;;-;0,0000;0,0000;174545,2800;0,0000;10/08/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;1;Serviço;170131-90008/2022;Registro de preços para contratação de serviços de instalação de piso elevado e forro modular;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;547;SERVIÇO DE ACABAMENTO E FINALIZAÇÃO DOS EDIFÍCIOS;;;5290;INSTALAÇÃO / MANUTENÇÃO - PISOS ELEVADOS;UN;1,0000;2000000,0000;2000000,0000;0,0000;16/11/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;2;Serviço;170131-90008/2022;Registro de preços para contratação de serviços de instalação de piso elevado e forro modular;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;873;SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO);;;18180;INSTALAÇÃO / REMOÇÃO / MANUTENÇÃO - FORRO;M2;2000,0000;800,0000;1600000,0000;0,0000;16/11/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;3;Material;170131-90010/2022;Aquisição de filtros de ar condicionado;CNBS (Catálogo Nacional de Bens e Serviços);Material;4460;EQUIPAMENTOS PARA PURIFICAÇÃO DE AR;7489;FILTRO PURIFICAÇÃO DE AR;;;-;0,0000;0,0000;60000,0000;0,0000;03/10/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;4;Material;170131-90011/2022;Contratação de mobiliário para CGU;CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;;;;;-;0,0000;0,0000;200000,0000;0,0000;31/10/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;5;Serviço;170131-90012/2022;Contratação dos serviços de montagem e desmontagem de arquivos deslizantes;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;873;SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO);;;13102;INSTALAÇÃO / MONTAGEM / ASSISTÊNCIA TÉCNICA DE SISTEMA   DE ARQUIVAMENTO DESLIZANTE;UN;1,0000;350000,0000;350000,0000;0,0000;01/12/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;6;Material;170131-90013/2022;Registro de Preços para eventual aquisição de divisórias;CNBS (Catálogo Nacional de Bens e Serviços);Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;15005;ESTAÇÃO TRABALHO / DIVISÓRIAS MOBILIÁRIOS DIVERSOS;;;-;0,0000;0,0000;1100000,0000;0,0000;30/10/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;7;Material;170131-90014/2022;Registro de preços para aquisição de cabos;CNBS (Catálogo Nacional de Bens e Serviços);Material;6145;FIOS E CABOS ELÉTRICOS;;;;;-;0,0000;0,0000;360000,0000;0,0000;29/08/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;8;Material;170131-90009/2022;Registro de Preços para aquisição de café e açúcar;CNBS (Catálogo Nacional de Bens e Serviços);Material;8955;CAFÉ, CHÁ E CHOCOLATE;911;"CAFÉ";;;-;0,0000;0,0000;160785,4000;0,0000;19/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;9;Material;170131-90009/2022;Registro de Preços para aquisição de café e açúcar;CNBS (Catálogo Nacional de Bens e Serviços);Material;8955;CAFÉ, CHÁ E CHOCOLATE;;;;;-;0,0000;0,0000;31829,9500;0,0000;19/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;13;Serviço;170131-90015/2022;Contratação de serviços de centrais de PABX para diversos órgãos;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;141;SERVIÇOS DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-ÇÕES MÓVEIS (SMP) E TELECOMUNICAÇÕES SATELITAIS;;;;;-;0,0000;0,0000;28398,5000;0,0000;10/08/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;14;Serviço;170131-90015/2022;Contratação de serviços de centrais de PABX para diversos órgãos;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;141;SERVIÇOS DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-ÇÕES MÓVEIS (SMP) E TELECOMUNICAÇÕES SATELITAIS;;;;;-;0,0000;0,0000;354424,8000;0,0000;10/08/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;15;Serviço;170131-90016/2022;Contratação de serviços de telefonia fixa;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;841;SERVIÇOS DE TELECOMUNICAÇÕES E DE DISTRIBUIÇÃO DE PROGRAMAS;;;;;-;0,0000;0,0000;2727,2400;0,0000;11/08/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;16;Serviço;170131-90016/2022;Contratação de serviços de telefonia fixa;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;141;SERVIÇOS DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-ÇÕES MÓVEIS (SMP) E TELECOMUNICAÇÕES SATELITAIS;;;;;-;0,0000;0,0000;68237,1300;0,0000;11/08/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;17;Serviço;170131-90017/2022;Registro de Preços para eventuais contratações de serviços de transporte de móveis e documentos;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;15407;DOCUMENTO - GUARDA / TRANSPORTE;UN;1,0000;500000,0000;500000,0000;0,0000;31/10/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;170131;18;Serviço;170131-90017/2022;Registro de Preços para eventuais contratações de serviços de transporte de móveis e documentos;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;;;22730;TRANSPORTE RODOVIÁRIO-MOBILIÁRIO/MATERIAIS/EQUIPAMENTOS/BENSPESSOAIS;UN;1,0000;460000,0000;460000,0000;0,0000;31/10/2023
